"idb.100028.b","BE"
"idb.1001.0","AU"
"idb.1002.3","AU"
"idb.10025.36","GB"
"idb.1003.2","AU"
"idb.1004.5","AU"
"idb.10041.34","ES"
"idb.10049.3c","IE"
"idb.1005.4","AU"
"idb.10051.35","GB"
"idb.1006.7","GB"
"idb.10067.30","UA"
"idb.10069.3e","FR"
"idb.1007.6","AU"
"idb.1008.9","AU"
"idb.100822.9","IS"
"idb.1009.8","AU"
"idb.10090.38","IL"
"idb.10095.3d","IT"
"idb.10097.3f","ES"
"idb.100995.4","GB"
"idb.1010.0","AU"
"idb.1011.1","AU"
"idb.1012.2","AU"
"idb.1013.3","AU"
"idb.1014.4","AU"
"idb.1017.7","AU"
"idb.10178.3f",""
"idb.1018.8","AU"
"idb.1019.9","AU"
"idb.101970.e","GB"
"idb.101992.2","GB"
"idb.1021.2","AU"
"idb.10211.33","DE"
"idb.10212.30","GR"
"idb.10215.37","ES"
"idb.1022.1","AU"
"idb.10223.32","TH"
"idb.1024.7","AU"
"idb.1025.6","AU"
"idb.10251.37","EG"
"idb.10253.35","DE"
"idb.1026.5","AU"
"idb.102627.0","GB"
"idb.10267.32","CZ"
"idb.1027.4",""
"idb.10283.38","FR"
"idb.10291.3b","BG"
"idb.10306.34","GB"
"idb.1032.0","AU"
"idb.10328.38","PT"
"idb.10334.35","HU"
"idb.10338.39","GB"
"idb.10346.30","GB"
"idb.10347.31","MY"
"idb.1035.7","PL"
"idb.10359.3e","TR"
"idb.10373.36","IT"
"idb.1038.a","AU"
"idb.10381.3b","IT"
"idb.10383.39","IT"
"idb.10388.32","DE"
"idb.10390.3b","FR"
"idb.10392.39","DE"
"idb.10400.35","FR"
"idb.10403.36","ES"
"idb.10404.31","DE"
"idb.10412.36","MA"
"idb.10414.30","RO"
"idb.10415.31","BG"
"idb.10417.33","NL"
"idb.10419.3d","NL"
"idb.1042.7",""
"idb.10420.37","AT"
"idb.10421.36","BO"
"idb.10423.34","DE"
"idb.10436.30","IE"
"idb.10438.3e","IT"
"idb.10447.36","ES"
"idb.104514.5","GB"
"idb.104846.f","GB"
"idb.104887.2","MX"
"idb.1049.c","AU"
"idb.10491.3d","BO"
"idb.10493.3f","DE"
"idb.10506.32","IT"
"idb.105130.6","FR"
"idb.10516.33","TR"
"idb.1052.6","SE"
"idb.10525.33","GB"
"idb.10533.34","GB"
"idb.105355.7","GB"
"idb.10548.38","SE"
"idb.10555.34","GB"
"idb.10567.35","IS"
"idb.10570.33","IL"
"idb.105807.b","IT"
"idb.10582.3e","GB"
"idb.10586.3a","ES"
"idb.10594.39","FR"
"idb.10595.38","MW"
"idb.10598.35","NA"
"idb.10599.34","PE"
"idb.106003.4","GB"
"idb.10601.36","HN"
"idb.106023.6","ES"
"idb.10604.33","KE"
"idb.106551.6","GR"
"idb.10689.36","CO"
"idb.10690.3e","AR"
"idb.10692.3c","AR"
"idb.10698.36","US"
"idb.10699.37","PE"
"idb.10702.34","ES"
"idb.10706.30","IN"
"idb.10708.3e","BR"
"idb.10711.36","CH"
"idb.10733.36","NE"
"idb.10737.32","FR"
"idb.10757.34","NG"
"idb.10760.30","NL"
"idb.10761.31","NL"
"idb.10772.33","PT"
"idb.10776.37","IT"
"idb.10784.3a","CN"
"idb.10789.37","PL"
"idb.107891.6","PL"
"idb.107950.a","PL"
"idb.10796.39","IT"
"idb.107973.b","RU"
"idb.10798.37","AR"
"idb.107984.3","BG"
"idb.107988.f","KZ"
"idb.10800.39","PE"
"idb.10803.3a","GA"
"idb.108103.b","UA"
"idb.108124.e","ID"
"idb.108126.c","ID"
"idb.108137.c","AR"
"idb.10814.3c","AR"
"idb.108162.c","AR"
"idb.10818.30","RW"
"idb.10821.3a","AR"
"idb.10822.39",""
"idb.10824.3f","NG"
"idb.10825.3e","DK"
"idb.108311.a","NI"
"idb.108348.6","TH"
"idb.108365.9","AR"
"idb.10837.3d","GB"
"idb.10839.33","FR"
"idb.10854.38","DE"
"idb.10858.34","FI"
"idb.10862.3d","BR"
"idb.10863.3c","ES"
"idb.108685.2","GB"
"idb.108743.9","CA"
"idb.108752.9","GB"
"idb.10877.39","FR"
"idb.108884.d","CA"
"idb.10894.34","DE"
"idb.10911.38","IT"
"idb.10914.3d","NL"
"idb.10917.3e","NO"
"idb.10918.31","BF"
"idb.10919.30","NO"
"idb.10939.32","EE"
"idb.10979.36","CZ"
"idb.10984.34","PA"
"idb.10985.35","GR"
"idb.10988.38","FR"
"idb.10992.33","FR"
"idb.109948.d","GB"
"idb.10999.38","CL"
"idb.11023.31","ES"
"idb.11024.36","FR"
"idb.11028.3a","CZ"
"idb.11046.32","DE"
"idb.11047.33","GR"
"idb.1108.8","US"
"idb.11081.39","DE"
"idb.11100.31","PE"
"idb.11108.39","ES"
"idb.11134.36","PH"
"idb.11135.37","CN"
"idb.11136.34","FR"
"idb.11139.3b","LK"
"idb.11142.37","MY"
"idb.11159.3d","PH"
"idb.11162.35","FR"
"idb.11166.31","FR"
"idb.11173.35","PK"
"idb.11175.33","SK"
"idb.11176.30","PH"
"idb.11184.3d","NL"
"idb.11194.3c","UG"
"idb.11199.31","IT"
"idb.11200.32","CM"
"idb.11201.33","GB"
"idb.11205.37","ES"
"idb.1121.3","GB"
"idb.11220.30","TR"
"idb.112203.3","NL"
"idb.1127.5","GB"
"idb.11318.3a","FR"
"idb.11325.34","IT"
"idb.113442.1","RU"
"idb.11348.3f","DE"
"idb.11355.33","BG"
"idb.11375.31","SI"
"idb.1138.b","US"
"idb.11381.3a","PT"
"idb.114033.4","FR"
"idb.11417.32","FR"
"idb.11447.37","IL"
"idb.11450.31","IT"
"idb.11469.3b","IT"
"idb.11478.3b","ES"
"idb.11480.3c","ES"
"idb.11485.39","GB"
"idb.11486.3a","BE"
"idb.11492.3f","IT"
"idb.11503.36","NL"
"idb.11505.30","BE"
"idb.11513.37","LT"
"idb.11543.32","FR"
"idb.115537.4","ES"
"idb.115636.6","DE"
"idb.11598.34","AT"
"idb.116068.8","US"
"idb.11630.35","UY"
"idb.11642.30","FR"
"idb.11667.37","FR"
"idb.116769.e","FR"
"idb.11696.39","IT"
"idb.11698.37","FR"
"idb.11702.35","DK"
"idb.11744.37","ES"
"idb.11749.3a","DE"
"idb.11762.33","ES"
"idb.11772.32","DE"
"idb.117796.f","FR"
"idb.11780.3f","IT"
"idb.117883.4","ES"
"idb.11794.3a","ES"
"idb.11804.3c","HU"
"idb.118179.7","ES"
"idb.11824.3e","FR"
"idb.11835.3e","GB"
"idb.11843.3f","FR"
"idb.11869.37","BA"
"idb.11887.37","TZ"
"idb.118974.2","FR"
"idb.11899.38","BR"
"idb.119021.a","ES"
"idb.11914.3c","GB"
"idb.11918.30","GB"
"idb.119217.d","GB"
"idb.119375.8","ES"
"idb.11942.3f","PS"
"idb.11943.3e","MA"
"idb.11951.3d","ZA"
"idb.11956.3a","ZA"
"idb.119672.a","FI"
"idb.119713.c","GR"
"idb.119809.8","ES"
"idb.11984.35","GB"
"idb.120073.7","GB"
"idb.12026.37","GB"
"idb.12039.39","IT"
"idb.12056.30","RO"
"idb.12062.37","GR"
"idb.12082.39","GB"
"idb.120895.7","DE"
"idb.12104.36","SZ"
"idb.12112.31","NO"
"idb.121334.6","FR"
"idb.12136.37","IL"
"idb.1214.6","US"
"idb.12148.3e","CL"
"idb.12155.32","GR"
"idb.122219.b","AT"
"idb.12245.30","FR"
"idb.122528.e","GB"
"idb.12284.3d","GR"
"idb.12295.3d","NL"
"idb.123047.3","GB"
"idb.12306.36","AL"
"idb.123124.7","DE"
"idb.12319.38","DZ"
"idb.12320.32","PT"
"idb.12332.31","FI"
"idb.12337.34","DE"
"idb.12341.35","PT"
"idb.12352.37","FR"
"idb.12354.31","MY"
"idb.1236.6","GB"
"idb.12361.37","GB"
"idb.12362.34","GB"
"idb.12363.35","DE"
"idb.12364.32","TG"
"idb.12366.30","FR"
"idb.12370.37","PT"
"idb.12380.38","NL"
"idb.12391.38","DE"
"idb.12402.35","GB"
"idb.124143.1","GR"
"idb.12477.37","GB"
"idb.12513.34","FR"
"idb.12525.31","PE"
"idb.12527.33","CN"
"idb.125505.6","FR"
"idb.125731.3","DE"
"idb.12574.35","TN"
"idb.12597.38","IT"
"idb.125974.c","IT"
"idb.12611.35","FR"
"idb.12641.30","GB"
"idb.12650.30","SE"
"idb.127050.1","GB"
"idb.127098.5","SK"
"idb.12711.34","IT"
"idb.12799.34","BR"
"idb.1281.a","GB"
"idb.12810.3a","FR"
"idb.12826.3f","GB"
"idb.12832.3a","FR"
"idb.12846.39","NL"
"idb.12847.38","PL"
"idb.12892.30","GB"
"idb.12896.34","GB"
"idb.12916.3d","JM"
"idb.129553.9","HU"
"idb.12981.33","CN"
"idb.12984.36","ZM"
"idb.13001.33","ZW"
"idb.13063.37","GB"
"idb.13097.3c","GB"
"idb.131063.6","US"
"idb.13124.35","TN"
"idb.13201.31","FR"
"idb.132669.9","FR"
"idb.13273.34","DK"
"idb.13291.38","CN"
"idb.13327.34","DE"
"idb.133275.1","US"
"idb.133302.0","NO"
"idb.133342.4","US"
"idb.13339.3b","PL"
"idb.13349.3c","FR"
"idb.133792.d","MA"
"idb.133800.9","PS"
"idb.13388.31","DE"
"idb.133885.4","NO"
"idb.13399.31","SE"
"idb.13402.34","CN"
"idb.13414.33","DE"
"idb.13428.3c","DE"
"idb.1343.5","US"
"idb.134563.6","US"
"idb.13464.34","FR"
"idb.13481.3f","GB"
"idb.134907.8","US"
"idb.134936.a","US"
"idb.134996.0","FR"
"idb.135060.1","NL"
"idb.13508.3f","DK"
"idb.135115.2","JO"
"idb.13515.33","GB"
"idb.135387.b","FR"
"idb.135519.a","US"
"idb.13554.36","GB"
"idb.13570.30","FR"
"idb.13574.34","SE"
"idb.135748.c","RO"
"idb.135963.b","US"
"idb.13606.32","CA"
"idb.13622.34","ES"
"idb.136304.3","JP"
"idb.13648.38","DE"
"idb.136519.9","ES"
"idb.13652.33","DE"
"idb.136593.b","JP"
"idb.136594.c","JP"
"idb.13687.3b","FR"
"idb.13689.35","GB"
"idb.13739.3f","ES"
"idb.1374.1","FI"
"idb.13745.34","IT"
"idb.13750.30","FR"
"idb.13751.31","FR"
"idb.13753.33","ES"
"idb.13756.36","GB"
"idb.137628.9","US"
"idb.13765.36","GB"
"idb.13772.30","PT"
"idb.13782.3f","SE"
"idb.13788.35","ES"
"idb.13790.3c","AT"
"idb.13791.3d",""
"idb.13792.3e","SE"
"idb.13796.3a","FI"
"idb.13797.3b","FI"
"idb.13799.35","NL"
"idb.13812.39","BE"
"idb.13822.3a","ES"
"idb.13825.3d","ES"
"idb.13829.31","DE"
"idb.138497.0","CA"
"idb.138499.e","BE"
"idb.13856.39","PL"
"idb.13946.39","DE"
"idb.13950.3e","FR"
"idb.139507.9","FR"
"idb.139510.f","FR"
"idb.139534.9","GB"
"idb.139596.1","CA"
"idb.13985.36","NO"
"idb.13986.35","IL"
"idb.13992.30","IL"
"idb.14003.36","US"
"idb.14004.31","RO"
"idb.14009.3c","JP"
"idb.14011.35","TR"
"idb.14013.37","IS"
"idb.1403.6","US"
"idb.14039.3f","DE"
"idb.14049.38","RS"
"idb.14076.34","GB"
"idb.14094.38","FI"
"idb.14095.39","DE"
"idb.14105.31","GM"
"idb.14127.31","PT"
"idb.14135.32","PT"
"idb.141591.9","AT"
"idb.14170.33","DK"
"idb.141980.5","GR"
"idb.14232.36","TR"
"idb.142395.8","US"
"idb.142627.4","IT"
"idb.14263.32","RU"
"idb.142910.f","NL"
"idb.14296.38","NO"
"idb.14329.3d","LT"
"idb.14332.37","GB"
"idb.14335.30","GB"
"idb.14352.31","TR"
"idb.143640.4","CA"
"idb.143642.6","US"
"idb.144023.0","IN"
"idb.14416.36","SN"
"idb.14440.35","JO"
"idb.14442.37","TR"
"idb.144532.5","US"
"idb.14454.30","GB"
"idb.14467.30","GB"
"idb.144756.5","ES"
"idb.144757.4","ES"
"idb.14476.30","RU"
"idb.14498.30","FR"
"idb.1453.3","GB"
"idb.145437.0","US"
"idb.14587.3f","IT"
"idb.14601.32","GB"
"idb.14617.35","US"
"idb.1463.0","CA"
"idb.14647.30","PT"
"idb.146611.5","CA"
"idb.14709.3b","CA"
