"AL","ALB","   1"
"DZ","DZA","   2"
"AR","ARG","  13"
"AM","ARM","   2"
"AU","AUS","  26"
"AT","AUT","  45"
"BY","BLR","   5"
"BE","BEL","  47"
"BM","BMU","   1"
"BO","BOL","   2"
"BA","BIH","   2"
"BW","BWA","   1"
"BR","BRA","  15"
"BG","BGR","  18"
"BF","BFA","   2"
"KH","KHM","   2"
"CM","CMR","   2"
"CA","CAN"," 240"
"CF","CAF","   1"
"CL","CHL","   9"
"CN","CHN","  34"
"CO","COL","   4"
"CD","COD","   1"
"CR","CRI","   1"
"HR","HRV","   8"
"CY","CYP","   3"
"CZ","CZE","  17"
"DK","DNK","  30"
"DM","DMA","   1"
"EG","EGY","   5"
"EE","EST","   9"
"ET","ETH","   3"
"FI","FIN","  31"
"FR","FRA"," 210"
"GA","GAB","   1"
"GM","GMB","   1"
"GE","GEO","   6"
"DE","DEU"," 218"
"GH","GHA","   1"
"GR","GRC","  54"
"HN","HND","   1"
"HK","HKG","   2"
"HU","HUN","  20"
"IS","ISL","   6"
"IN","IND","  11"
"ID","IDN","   4"
"IR","IRN","   2"
"IE","IRL","  23"
"IL","ISR","  13"
"IT","ITA"," 170"
"JM","JAM","   1"
"JP","JPN","  18"
"JO","JOR","   4"
"KZ","KAZ","   3"
"KE","KEN","   3"
"KR","KOR","   5"
"KG","KGZ","   1"
"LV","LVA","   7"
"LB","LBN","   4"
"LT","LTU","  12"
"LU","LUX","   6"
"MK","MKD","   2"
"MW","MWI","   1"
"MY","MYS","   4"
"ML","MLI","   1"
"MT","MLT","   2"
"MU","MUS","   1"
"MX","MEX","   4"
"MD","MDA","   1"
"MA","MAR","   7"
"MZ","MOZ","   2"
"NA","NAM","   1"
"NP","NPL","   2"
"NL","NLD","  66"
"NZ","NZL","   8"
"NI","NIC","   1"
"NE","NER","   1"
"NG","NGA","   3"
"NO","NOR","  32"
"PK","PAK","   2"
"PW","PLW","   1"
"PS","PSE","   3"
"PA","PAN","   1"
"PE","PER","   5"
"PH","PHL","   7"
"PL","POL","  37"
"PT","PRT","  46"
"PR","PRI","   4"
"RO","ROU","  21"
"RU","RUS","  47"
"RW","RWA","   1"
"SA","SAU","   2"
"SN","SEN","   2"
"RS","SRB","   7"
"SG","SGP","   2"
"SK","SVK","  16"
"SI","SVN","   9"
"ZA","ZAF","   7"
"ES","ESP"," 137"
"LK","LKA","   3"
"SD","SDN","   2"
"SZ","SWZ","   1"
"SE","SWE","  53"
"CH","CHE","  32"
"SY","SYR","   1"
"TW","TWN","   3"
"TZ","TZA","   2"
"TH","THA","   6"
"TG","TGO","   1"
"TN","TUN","   6"
"TR","TUR","  28"
"UG","UGA","   1"
"UA","UKR","  12"
"AE","ARE","   1"
"GB","GBR"," 336"
"US","USA","1755"
"UY","URY","   1"
"UZ","UZB","   2"
"VE","VEN","   2"
"VN","VNM","   1"
"ZM","ZMB","   1"
"ZW","ZWE","   2"
